// HASH_VALUE EFC920A759BAC04B
// INDEX 0
tribe_declare_war_title	[Aussenposten mit Gewalt einnehmen.]

// HASH_VALUE 3B993C46E5D4DBBC
// INDEX 1
tribe_declare_peace_title	[Einen Stamm unterstützen.]

// HASH_VALUE A975D792D1B5E8BC
// INDEX 2
tribe_declare_war_answer	[Ich weiß nicht was ich sagen soll, aber $p$ sagte zu $b$, die $guild$ Gilde suche Krieg.]

// HASH_VALUE 2273DF8D9BD9EF89
// INDEX 3
ct_outpost_matis15	[Matis Steuer.]

// HASH_VALUE 0000000000000000
// INDEX 4
cd_outpost_matis15	[]

// HASH_VALUE 0000000000000000
// INDEX 5
cd_outpost_matis15_1	[]

// HASH_VALUE A324EF921A18037D
// INDEX 6
ct_outpost_matis_15	[Zorai Steuer.]

// HASH_VALUE 74AF5027C468572C
// INDEX 7
cd_outpost_matis_15	[Un poste avancé essentiel pour les Zorail.\n
	En effet, le presence de plante aromatique dans le secteurleur permet d'extraire une boisson alcoolisé dont ils fontun usage non modéré.]

// HASH_VALUE 9D250074732FC14A
// INDEX 8
cd_outpost_matis_15_1	[Le guilde la mieux placé pour ce torché rapidement est "$guild$" avec une fame de $fame$ ]

// HASH_VALUE F53F7687F5014B09
// INDEX 9
mis_forage_1	[Suche nach $qt$ $i$ mit einer Mindestqualität von $ql$]

// HASH_VALUE BF4C570BE7545D9F
// INDEX 10
mis_forage_2	[Suche nach :\n
	 - $qt1$ $i1$ mit einer Mindestqualität von $ql1$\n
	 - $qt2$ $i2$ mit einer Mindestqualität von $ql2$]

// HASH_VALUE CB049B86FF8F614C
// INDEX 11
mis_forage_3	[Suche nach :\n
	 - $qt1$ $i1$ mit einer Mindestqualität von $ql1$\n
	 - $qt2$ $i2$ mit einer Mindestqualität von $ql2$\n
	 - $qt3$ $i3$ mit einer Mindestqualität von $ql3$]

// HASH_VALUE 4EDA3C477E883EF6
// INDEX 12
mis_forage_4	[Suche nach :\n
	 - $qt1$ $i1$ mit einer Mindestqualität von $ql1$\n
	 - $qt2$ $i2$ mit einer Mindestqualität von $ql2$\n
	 - $qt3$ $i3$ mit einer Mindestqualität von $ql3$\n
	 - $qt4$ $i4$ mit einer Mindestqualität von $ql4$]

// HASH_VALUE E2C19CE584BAC546
// INDEX 13
mis_forage_5	[Sammle :\n
	 - $qt1$ $i1$ der Mindestqualität $ql1$\n
	 - $qt2$ $i2$ der Mindestqualität $ql2$\n
	 - $qt3$ $i3$ der Mindestqualität $ql3$\n
	 - $qt4$ $i4$ der Mindestqualität $ql4$\n
	 - $qt5$ $i5$ der Mindestqualität $ql5$]

// HASH_VALUE C57066B9EB376215
// INDEX 14
mis_loot_mp_1	[Plündere $qt1$ $i1$ mit einer Mindestqualität von $ql1$ von einer toten Kreatur.]

// HASH_VALUE 31333810D83BC5D5
// INDEX 15
mis_loot_mp_2	[Plündere :\n
	 - $qt1$ $i1$ mit einer Mindestqualität von $ql1$\n
	 - $qt2$ $i2$ mit einer Mindestqualität von $ql2$\n
	 von einer toten Kreatur.]

// HASH_VALUE F4DB5CDF77521590
// INDEX 16
mis_loot_mp_3	[Plündere :\n
	 - $qt1$ $i1$ mit einer Mindestqualität von $ql1$\n
	 - $qt2$ $i2$ mit einer Mindestqualität von $ql2$\n
	 - $qt3$ $i3$ mit einer Mindestqualität von $ql3$\n
	 von einer toten Kreatur.]

// HASH_VALUE 75E46250FB2C5D2A
// INDEX 17
mis_loot_mp_4	[Plündere :\n
	 - $qt1$ $i1$ mit einer Mindestqualität von $ql1$\n
	 - $qt2$ $i2$ mit einer Mindestqualität von $ql2$\n
	 - $qt3$ $i3$ mit einer Mindestqualität von $ql3$\n
	 - $qt4$ $i4$ mit einer Mindestqualität von $ql4$\n
	 von einer toten Kreatur.]

// HASH_VALUE E67ABFD79F1FCF92
// INDEX 18
mis_loot_item_1	[Plündere $i1.ia$ $i1$ von einem toten Ziel.]

// HASH_VALUE C4A7633DBFB27743
// INDEX 19
mis_loot_item_2	[Plündere :\n
	 - $i1.ia$ $i1$\n
	 - $i2.ia$ $i2$\n
	 von einem toten Ziel.]

// HASH_VALUE 24DDABA373367794
// INDEX 20
mis_loot_item_3	[Plündere :\n
	 - $i1.ia$ $i1$\n
	 - $i2.ia$ $i2$\n
	 - $i3.ia$ $i3$\n
	 von einem toten Ziel.]

// HASH_VALUE 8413F30B27BA77E5
// INDEX 21
mis_loot_item_4	[Plündere :\n
	 - $i1.ia$ $i1$\n
	 - $i2.ia$ $i2$\n
	 - $i3.ia$ $i3$\n
	 - $i4.ia$ $i4$\n
	 von einem toten Ziel.]

// HASH_VALUE 806D88694C0CC91A
// INDEX 22
mis_craft_1	[Erschaffe $qt$ $i$ mit einer Mindestqualität von $ql$]

// HASH_VALUE 645C07E0AC051ADD
// INDEX 23
mis_craft_2	[Erschaffe :\n
	 - $qt1$ $i1$ mit einer Mindestqualität von $ql1$\n
	 - $qt2$ $i2$ mit einer Mindestqualität von $ql2$]

// HASH_VALUE 0EDCB2F0C98925DD
// INDEX 24
mis_craft_3	[Erschaffe :\n
	 - $qt1$ $i1$ mit einer Mindestqualität von $ql1$\n
	 - $qt2$ $i2$ mit einer Mindestqualität von $ql2$\n
	 - $qt3$ $i3$ mit einer Mindestqualität von $ql3$]

// HASH_VALUE F7FBA457B8A7E013
// INDEX 25
mis_craft_4	[Erschaffe :\n
	 - $qt1$ $i1$ mit einer Mindestqualität von $ql1$\n
	 - $qt2$ $i2$ mit einer Mindestqualität von $ql2$\n
	 - $qt3$ $i3$ mit einer Mindestqualität von $ql3$\n
	 - $qt4$ $i4$ mit einer Mindestqualität von $ql4$]

// HASH_VALUE 959FAF57E327B323
// INDEX 26
mis_craft_5	[Erschaffe :\n
	 - $qt1$ $i1$ mit einer Mindestqualität von $ql1$\n
	 - $qt2$ $i2$ mit einer Mindestqualität von $ql2$\n
	 - $qt3$ $i3$ mit einer Mindestqualität von $ql3$\n
	 - $qt4$ $i4$ mit einer Mindestqualität von $ql4$\n
	 - $qt5$ $i5$ mit einer Mindestqualität von $ql5$\n
	]

// HASH_VALUE 84BD728DCC46858C
// INDEX 27
mis_craft_6	[Erschaffe :\n
	 - $qt1$ $i1$ mit einer Mindestqualität von $ql1$\n
	 - $qt2$ $i2$ mit einer Mindestqualität von $ql2$\n
	 - $qt3$ $i3$ mit einer Mindestqualität von $ql3$\n
	 - $qt4$ $i4$ mit einer Mindestqualität von $ql4$\n
	 - $qt5$ $i5$ mit einer Mindestqualität von $ql5$\n
	 - $qt6$ $i6$ mit einer Mindestqualität von $ql6$]

// HASH_VALUE D8486FE49C988FB2
// INDEX 28
mis_talk_to	[Rede mit $b$]

// HASH_VALUE D301DBA0A5EF6951
// INDEX 29
mis_talk_to_menu	[Sprich mit $b$.]

// HASH_VALUE 439E7D106AE5BF16
// INDEX 30
mis_kill_fauna_1	[Töte $q1$ $c1$]

// HASH_VALUE 3F0DE75523C7B995
// INDEX 31
mis_kill_fauna_2	[Töte :\n
	 - $q1$ $c1$\n
	 - $q2$ $c2$]

// HASH_VALUE 1315F77F2CFA7EDD
// INDEX 32
mis_kill_fauna_3	[Töte :\n
	 - $q1$ $c1$\n
	 - $q2$ $c2$\n
	 - $q3$ $c3$]

// HASH_VALUE 202C17D34F3E2601
// INDEX 33
mis_kill_fauna_4	[Töte :\n
	 - $q1$ $c1$\n
	 - $q2$ $c2$\n
	 - $q3$ $c3$\n
	 - $q4$ $c4$]

// HASH_VALUE 3A51598485825BDC
// INDEX 34
mis_kill_fauna_loc_1	[Gehe nach $p$ und töte $q1$ $c1$]

// HASH_VALUE 122EC58F2DC63B24
// INDEX 35
mis_kill_fauna_loc_2	[Gehe nach $p$ und töte :\n
	 - $q1$ $c1$\n
	 - $q2$ $c2$]

// HASH_VALUE 23D055C2894A87B4
// INDEX 36
mis_kill_fauna_loc_3	[Gehe nach $p$ und töte :\n
	 - $q1$ $c1$\n
	 - $q2$ $c2$\n
	 - $q3$ $c3$]

// HASH_VALUE 35159606138C5725
// INDEX 37
mis_kill_fauna_loc_4	[Gehe nach $p$ und töte :\n
	 - $q1$ $c1$\n
	 - $q2$ $c2$\n
	 - $q3$ $c3$\n
	 - $q4$ $c4$]

// HASH_VALUE 44FC8540B61766F3
// INDEX 38
mis_kill_race_1	[Töte $q1$ von jeder Art der $c1$]

// HASH_VALUE AE0F0F2313056CE6
// INDEX 39
mis_kill_race_2	[Töte :\n
	 - $q1$ von jeder Art der $c1$\n
	 - $q2$ von jeder Art der $c2$]

// HASH_VALUE E9DC1A3C0FD157DA
// INDEX 40
mis_kill_race_3	[Töte :\n
	 - $q1$ von jeder Art der $c1$\n
	 - $q2$ von jeder Art der $c2$\n
	 - $q3$ von jeder Art der $c3$]

// HASH_VALUE 25AA8FBF940FC854
// INDEX 41
mis_kill_race_4	[Töte :\n
	 - $q1$ von jeder Art der $c1$\n
	 - $q2$ von jeder Art der $c2$\n
	 - $q3$ von jeder Art der $c3$\n
	 - $q4$ von jeder Art der $c4$]

// HASH_VALUE ECDDFE93F8AB8B12
// INDEX 42
mis_kill_race_loc_1	[Gehe nach $p$ und töte $q1$ von jeder Art der $c1$]

// HASH_VALUE B319F18178EA3E52
// INDEX 43
