*HASH_VALUE,creature ID,name,ia,da,p,pia,pda,cc,pr
_BF667A52745D1CCC,caaga1,Baldusa impur,un,le,Baldusas impurs,des,les,du,au
_1B3F7E6D4208C16B,caaga2,Baldusa pourri,un,le,Baldusas pourris,des,les,du,au
_E99353EFAA20CAC5,caaga3,Baldusa contaminé,un,le,Baldusas contaminés,des,les,du,au
_8944CE87B71EA55D,caaga4,Baldusa infecté,un,le,Baldusas infectés,des,les,du,au
_16CFEA893D982988,caagb1,Baldusa écœurant,un,le,Baldusas écœurants,des,les,du,au
_5A80A6768149E975,caagb2,Baldusa puant,un,le,Baldusas puants,des,les,du,au
_3F50E64FFCA9BCBF,caagb3,Baldusa morbide,un,le,Baldusas morbides,des,les,du,au
_5990AE6D8059F96C,caagb4,Baldusa empoisonné,un,le,Baldusas empoisonnés,des,les,du,au
_DA26CE28FEFD73F3,caagc1,Baldusa souffrant,un,le,Baldusas souffrants,des,les,du,au
_5F65EA2A2C6E53B3,caagc2,Baldusa fiévreux,un,le,Baldusas fiévreux,des,les,du,au
_DF843B861BA2615B,caagc3,Baldusa putréfié,un,le,Baldusas putréfiés,des,les,du,au
_96C0F67FBD89417F,caagc4,Baldusa venimeux,un,le,Baldusas venimeux,des,les,du,au
_1F95BE3D3B1D3BEE,caagd1,Baldusa ravagé,un,le,Baldusas ravagés,des,les,du,au
_50A5F66286D3F53A,caagd2,Baldusa poisseux,un,le,Baldusas poisseux,des,les,du,au
_B119DAB1A236F970,caagd3,Baldusa pestilentiel,un,le,Baldusas pestilentiels,des,les,du,au
_C1E0CA5879FACCC6,caagd4,Baldusa délirant,un,le,Baldusas délirants,des,les,du,au
_55170E5C8E350D51,caage1,Baldusa pustuleux,un,le,Baldusas pustuleux,des,les,du,au
_1DF5FE2CFCBD4701,caage2,Baldusa suintant,un,le,Baldusas suintants,des,les,du,au
_1C95BE287EEC4BFE,caage3,Baldusa écumant,un,le,Baldusas écumants,des,les,du,au
_D415E2674843093B,caage4,Baldusa répugnant,un,le,Baldusas répugnants,des,les,du,au
_59BF76718088B574,caagf1,Baldusa dément,un,le,Baldusas déments,des,les,du,au
_D9A09A690069DD6C,caagf2,Baldusa frénétique,un,le,Baldusas frénétiques,des,les,du,au
_973FAA77BE08F17A,caagf3,Baldusa démoniaque,un,le,Baldusas démoniaques,des,les,du,au
_46A016507B99B8C1,caala1,Petit Baldusa,un,le,Petits Baldusas,des,les,du,au
_1666DA5ACAE3ED44,caala2,Baldusa primitif,un,le,Baldusas primitifs,des,les,du,au
_8824CE90B89EC95F,caala3,Baldusa apaisé,un,le,Baldusas apaisés,des,les,du,au
_EC3F8D0D79DDD0AA,caala4,Baldusa rapide,un,le,Baldusas rapides,des,les,du,au
_47A016507B99B8C1,caapa1,Petit Baldusa,un,le,Petits Baldusas,des,les,du,au
_1766DA5ACAE3ED44,caapa2,Baldusa primitif,un,le,Baldusas primitifs,des,les,du,au
_8924CE90B89EC95F,caapa3,Baldusa apaisé,un,le,Baldusas apaisés,des,les,du,au
_ED3F8D0D79DDD0AA,caapa4,Baldusa rapide,un,le,Baldusas rapides,des,les,du,au
_32D081117CEDC4AB,caapb1,Baldusa gluant,un,le,Baldusas gluants,des,les,du,au
_C75F1240FC09E0C5,caapb2,Baldusa ordinaire,un,le,Baldusas ordinaires,des,les,du,au
_60F59A2CFCEC4BF2,caapb3,Baldusa en chasse,un,le,Baldusas en chasse,des,les,du,au
_F170AD15F6CCD0AB,caapb4,Baldusa adulte,un,le,Baldusas adultes,des,les,du,au
_E3B6FA9D24B6C971,caapc1,Baldusa très vigoureux,un,le,Baldusas très vigoureux,des,les,du,au
_D3B6BA56C8A2E139,caapc2,Baldusa défensif,un,le,Baldusas défensifs,des,les,du,au
_58F1C27C3CBA097C,caapc3,Baldusa fouilleur,un,le,Baldusas fouilleurs,des,les,du,au
_9A8F9E767E58E976,caapc4,Baldusa pétrifiant,un,le,Baldusas pétrifiants,des,les,du,au
_A3F6CE39004C43FB,caapd1,Baldusa embusqué,un,le,Baldusas embusqués,des,les,du,au
_1C60CA7C00290D7D,caapd2,Baldusa rôdeur,un,le,Baldusas rôdeurs,des,les,du,au
_5EA27D6E452BE76C,caapd3,Baldusa furieux,un,le,Baldusas furieux,des,les,du,au
_7667B1216E765CF6,caapd4,Baldusa indompté,un,le,Baldusas indomptés,des,les,du,au
_54A6FA51CC63F551,caape1,Baldusa énorme,un,le,Baldusas énormes,des,les,du,au
_59A0B28A3D69F58C,caape2,Baldusa insatiable,un,le,Baldusas insatiables,des,les,du,au
_7667010B6C3458F7,caape3,Baldusa mauvais,un,le,Baldusas mauvais,des,les,du,au
_DF859EBB4752744C,caape4,Baldusa attaquant,un,le,Baldusas attaquants,des,les,du,au
