*HASH_VALUE	sbrick ID	name	named	p	pd	* noms français	ia	da	pia	pda	description	description2
_982C1DC616A579D5	BFPA01	Standardangriff	Standardangriff	Standardangriffe	Standardangriffe		ein	der		die	Standard Stanza für alle Kampfaktionen.	Standardangriff-Basisstanza
_CD9CEEBCAF485D13	BFOA01	Erhöhter Schaden	Erhöhter Schaden	Erhöhte Schäden	Erhöhte Schäden		eine	die		die	Erhöht den Schaden eines Schlages.	Schadenserhöhungs-Option
_4A8C98814E07227B	BFOA02	Feuerrate	Feuerrate	Feuerraten	Feuerraten		eine	die		die	Verbessert die Feuergeschwindigkeit	Erhöht die Feuergeschwindigkeit
_0FDAD468BB4B8237	BFOA03	Präzisionsangriff	Präzisionsangriff	Präzisionsangriffe	Präzisionsangriffe		ein	der		die	Verbessert die Angriffspräzision und reduziert die gegnerische Chance des Ausweichens.	Präzisionsangriffs-Option
_B5072E218927A0CA	BFOA04	Blutungsangriff	Blutungsangriff	Blutungsangriffe	Blutungsangriffe		eine	die		die	Erzeugt eine offene, blutende Wunde - verursacht einen Extraschaden für 10s.	Blutangriffs-Option
_E202CF41E3D22207	BFMA01	Erhöhter Schaden 1	Erhöhter Schaden 1	Erhöhte Schäden 1	Erhöhte Schäden 1		eine	die		die	Verdoppelt den Schaden im Optimalfall - Maximale Effizienz bis zur Waffenqualität 10.	Erhöhter Schaden 1, max. Faktor : $1INC_DMG
_2202CF42E3E22607	BFMA02	Erhöhter Schaden 2	Erhöhter Schaden 2	Erhöhte Schäden 2	Erhöhte Schäden 2		eine	die		die	Verdoppelt den Schaden im Optimalfall - Maximale Effizienz bis zur Waffenqualität 20.	Erhöhter Schaden 2, max. Faktor : $1INC_DMG
_6202CF43E3F22A07	BFMA03	Erhöhter Schaden 3	Erhöhter Schaden 3	Erhöhte Schäden 3	Erhöhte Schäden 3		eine	die		die	Verdoppelt den Schaden im Optimalfall - Maximale Effizienz bis zur Waffenqualität 30.	Erhöhter Schaden 3, max. Faktor : $1INC_DMG
_A302E344E3022E07	BFMA04	Erhöhter Schaden 4	Erhöhter Schaden 4	Erhöhte Schäden 4	Erhöhte Schäden 4		eine	die		die	Verdoppelt den Schaden im Optimalfall - Maximale Effizienz bis zur Waffenqualität 45.	Erhöhter Schaden 4, max. Faktor : $1INC_DMG
_E302CF47E3123207	BFMA05	Erhöhter Schaden 5	Erhöhter Schaden 5	Erhöhte Schäden 5	Erhöhte Schäden 5		eine	die		die	Verdoppelt den Schaden im Optimalfall - Maximale Effizienz bis zur Waffenqualität 70.	Erhöhter Schaden 5, max. Faktor : $1INC_DMG
_2302CF49E3223607	BFMA06	Erhöhter Schaden 6	Erhöhter Schaden 6	Erhöhte Schäden 6	Erhöhte Schäden 6		eine	die		die	Verdoppelt den Schaden im Optimalfall - Maximale Effizienz bis zur Waffenqualität 90.	Erhöhter Schaden 6, max. Faktor : $1INC_DMG
_E33D1033DFBF9FBC	BFMA07	Erhöhter Schaden 7	Erhöhter Schaden 7	Erhöhte Schäden 7	Erhöhte Schäden 7		eine	die		die	Verdoppelt den Schaden im Optimalfall - Maximale Effizienz bis zur Waffenqualität 115.	Erhöhter Schaden 7, max. Faktor : $1INC_DMG
_E3ED1C33DFCFA3BD	BFMA08	Erhöhter Schaden 8	Erhöhter Schaden 8	Erhöhte Schäden 8	Erhöhte Schäden 8		eine	die		die	Verdoppelt den Schaden im Optimalfall - Maximale Effizienz bis zur Waffenqualität 140.	Erhöhter Schaden 8, max. Faktor : $1INC_DMG
_E33D2433DFDFA7BE	BFMA09	Erhöhter Schaden 9	Erhöhter Schaden 9	Erhöhte Schädenn 9	Erhöhte Schäden 9		eine	die		die	Verdoppelt den Schaden im Optimalfall - Maximale Effizienz bis zur Waffenqualität 165.	Erhöhter Schaden 9, max. Faktor : $1INC_DMG
_1006A1C96FF045FA	BFMA10	Erhöhter Schaden 10	Erhöhter Schaden 10	Erhöhte Schäden 10	Erhöhte Schäden 10		eine	die		die	Verdoppelt den Schaden im Optimalfall - Maximale Effizienz bis zur Waffenqualität 190.	Erhöhter Schaden 10, max. Faktor : $1INC_DMG
_5186A5C9AF0049FA	BFMA11	Erhöhter Schaden 11	Erhöhter Schaden 11	Erhöhte Schäden 11	Erhöhte Schäden 11		eine	die		die	Verdoppelt den Schaden im Optimalfall - Maximale Effizienz bis zur Waffenqualität 215.	Erhöhter Schaden 11, max. Faktor : $1INC_DMG
_10B6A5C9EF104DFA	BFMA12	Erhöhter Schaden 12	Erhöhter Schaden 12	Erhöhte Schäden 12	Erhöhte Schäden 12		eine	die		die	Verdoppelt den Schaden im Optimalfall - Maximale Effizienz bis zur Waffenqualität 240.	Erhöhter Schaden 12, max. Faktor : $1INC_DMG
_51D6A5C92F2051FA	BFMA13	Erhöhter Schaden 13	Erhöhter Schaden 13	Erhöhte Schäden 13	Erhöhte Schäden 13		eine	die		die	Verdoppelt den Schaden im Optimalfall - Maximale Effizienz bis zur Waffenqualität 265.	Erhöhter Schaden 13, max. Faktor : $1INC_DMG
_87DF1BB3354CE2F3	BFMC01	Präzisionsangriff 1	Präzisionsangriff 1	Präzisionsangriffe 1	Präzisionsangriffe 1		eine	die		die	Reduziert die Ausweich-Chance des Gegners - maximale Effizienz mit einer Waffe bis zur Qualität 20.	Präzisionsangriff 1, max. Fertigkeitsbonus: +$1ATT_SKILL_MOD
_872F1FB3355CE6F4	BFMC02	Präzisionsangriff 2	Präzisionsangriff 2	Präzisionsangriffe 2	Präzisionsangriffe 2		eine	die		die	Reduziert die Ausweich-Chance des Gegners - maximale Effizienz mit einer Waffe bis zur Qualität 35.	Präzisionsangriff 2, max. Fertigkeitsbonus: +$1ATT_SKILL_MOD
_87DF27B3356CEAF5	BFMC03	Präzisionsangriff 3	Präzisionsangriff 3	Präzisionsangriffe 3	Präzisionsangriffe 3		eine	die		die	Reduziert die Ausweich-Chance des Gegners - maximale Effizienz mit einer Waffe bis zur Qualität 50.	Präzisionsangriff 3, max. Fertigkeitsbonus: +$1ATT_SKILL_MOD
_872F2BB3357CEEF6	BFMC04	Präzisionsangriff 4	Präzisionsangriff 4	Präzisionsangriffe 4	Präzisionsangriffe 4		eine	die		die	Reduziert die Ausweich-Chance des Gegners - maximale Effizienz mit einer Waffe bis zur Qualität 65.	Präzisionsangriff 4, max. Fertigkeitsbonus: +$1ATT_SKILL_MOD
_87DF37B3358CF2F7	BFMC05	Präzisionsangriff 5	Präzisionsangriff 5	Präzisionsangriffe 5	Präzisionsangriffe 5		eine	die		die	Reduziert die Ausweich-Chance des Gegners - maximale Effizienz mit einer Waffe bis zur Qualität 90.	Präzisionsangriff 5, max. Fertigkeitsbonus: +$1ATT_SKILL_MOD
_2548612479F664B1	BFMC06	Präzisionsangriff 6	Präzisionsangriff 6	Präzisionsangriffe 6	Präzisionsangriffe 6		eine	die		die	Reduziert die Ausweich-Chance des Gegners - maximale Effizienz mit einer Waffe bis zur Qualität 115.	Präzisionsangriff 6, max. Fertigkeitsbonus: +$1ATT_SKILL_MOD
_B2EEF8758A898CB2	BFMC07	Präzisionsangriff 7	Präzisionsangriff 7	Präzisionsangriffe 7	Präzisionsangriffe 7		eine	die		die	Reduziert die Ausweich-Chance des Gegners - maximale Effizienz mit einer Waffe bis zur Qualität 140.	Präzisionsangriff 7, max. Fertigkeitsbonus: +$1ATT_SKILL_MOD
_B21EF8758A9994B2	BFMC08	Präzisionsangriff 8	Präzisionsangriff 8	Präzisionsangriffe 8	Präzisionsangriffe 8		eine	die		die	Reduziert die Ausweich-Chance des Gegners - maximale Effizienz mit einer Waffe bis zur Qualität 170.	Präzisionsangriff 8, max. Fertigkeitsbonus: +$1ATT_SKILL_MOD
_B2AEFC758AA99CB2	BFMC09	Präzisionsangriff 9	Präzisionsangriff 9	Präzisionsangriffe 9	Präzisionsangriffe 9		eine	die		die	Reduziert die Ausweich-Chance des Gegners - maximale Effizienz mit einer Waffe bis zur Qualität 200.	Präzisionsangriff 9, max. Fertigkeitsbonus: +$1ATT_SKILL_MOD
_9DE7FA8D8536BEE5	BFMC10	Präzisionsangriff 10	Präzisionsangriff 10	Präzisionsangriffe 10	Präzisionsangriffe 10		eine	die		die	Reduziert die Ausweich-Chance des Gegners - maximale Effizienz mit einer Waffe bis zur Qualität 235.	Präzisionsangriff 10, max. Fertigkeitsbonus: +$1ATT_SKILL_MOD
_9EE7FA8D0536C2E5	BFMC11	Präzisionsangriff 11	Präzisionsangriff 11	Präzisionsangriffe 11	Präzisionsangriffe 11		eine	die		die	Reduziert die Ausweich-Chance des Gegners - maximale Effizienz mit einer Waffe bis zur Qualität 275.	Präzisionsangriff 11, max. Fertigkeitsbonus: +$1ATT_SKILL_MOD
_820A6C42D5B6F83F	BFMD01	Blutungsangriff 1	Blutungsangriff 1	Blutungsangriffe 1	Blutungsangriffe 1		eine	die		die	Verursacht eine stark blutende Wunde (basierend auf dem Schaden des vorausgehenden Blutangriffs) für 10s - Maximale Effizienz bis zur Waffenqualität 25.	Blutungsangriff 1, max. Faktor: $2BLEED_FACTOR
_820A704215B6003F	BFMD02	Blutungsangriff 2	Blutungsangriff 2	Blutungsangriffe 2	Blutungsangriffe 2		eine	die		die	Verursacht eine stark blutende Wunde (basierend auf dem Schaden des vorausgehenden Blutangriffs) für 10s - Maximale Effizienz bis zur Waffenqualität 35.	Blutungsangriff 2, max. Faktor: $2BLEED_FACTOR
_82BA784255B6083F	BFMD03	Blutungsangriff 3	Blutungsangriff 3	Blutungsangriffe 3	Blutungsangriffe 3		eine	die		die	Verursacht eine stark blutende Wunde (basierend auf dem Schaden des vorausgehenden Blutangriffs) für 10s - Maximale Effizienz bis zur Waffenqualität 50.	Blutungsangriff 3, max. Faktor: $2BLEED_FACTOR
_820A7C4296B6103F	BFMD04	Blutungsangriff 4	Blutungsangriff 4	Blutungsangriffe 4	Blutungsangriffe 4		eine	die		die	Verursacht eine stark blutende Wunde (basierend auf dem Schaden des vorausgehenden Blutangriffs) für 10s - Maximale Effizienz bis zur Waffenqualität 65.	Blutungsangriff 4, max. Faktor: $2BLEED_FACTOR
_82BA8842D6B6183F	BFMD05	Blutungsangriff 5	Blutungsangriff 5	Blutungsangriffe 5	Blutungsangriffe 5		eine	die		die	Verursacht eine stark blutende Wunde (basierend auf dem Schaden des vorausgehenden Blutangriffs) für 10s - Maximale Effizienz bis zur Waffenqualität 90.	Blutungsangriff 5, max. Faktor: $2BLEED_FACTOR
_13C8472D11280303	BFMD06	Blutungsangriff 6	Blutungsangriff 6	Blutungsangriffe 6	Blutungsangriffe 6		eine	die		die	Verursacht eine stark blutende Wunde (basierend auf dem Schaden des vorausgehenden Blutangriffs) für 10s - Maximale Effizienz bis zur Waffenqualität 115.	Blutungsangriff 6, max. Faktor: $2BLEED_FACTOR
