*HASH_VALUE	sbrick ID	name	ia	da	p	pia	pda	description	description2
-	BFPA01	Default attack	a	the				Base stanza for all combat actions.	Default Attack Fight Stanza
-	BFOA01	Increase Damage	an	the				Increases damage inflicted by a hit.	Increase Damage Option
-	BFOA02	Hit Rate	a	the				Increases the firing rate of your weapon.	Increase Firing Rate Option
-	BFOA03	Accurate Attack	an	the				Increases the accuracy of attack, reduces the chances of enemy dodging.	Accurate Attack Option
-	BFOA04	Bleeding	a	the				Inflicts an open wound causing bleeding - causes extra damage for 10s.	Bleeding Option
-	BFMA01	Increase Damage 1	an	the				Increases damage to up to double - maximum efficiency for weapons up to level 10.	Increase Damage 1 - Max Factor: $1INC_DMG
-	BFMA02	Increase Damage 2	an	the				Increases damage to up to double - maximum efficiency for weapons up to level 20.	Increase Damage 2 - Max Factor: $1INC_DMG
-	BFMA03	Increase Damage 3	an	the				Increases damage to up to double - maximum efficiency for weapons up to level 30.	Increase Damage 3 - Max Factor: $1INC_DMG
-	BFMA04	Increase Damage 4	an	the				Increases damage to up to double - maximum efficiency for weapons up to level 45.	Increase Damage 4 - Max Factor: $1INC_DMG
-	BFMA05	Increase Damage 5	an	the				Increases damage to up to double - maximum efficiency for weapons up to level 70.	Increase Damage 5 - Max Factor: $1INC_DMG
-	BFMA06	Increase Damage 6	an	the				Increases damage to up to double - maximum efficiency for weapons up to level 90.	Increase Damage 6 - Max Factor: $1INC_DMG
-	BFMA07	Increase Damage 7	an	the				Increases damage to up to double - maximum efficiency for weapons up to level 115.	Increase Damage 7 - Max Factor: $1INC_DMG
-	BFMA08	Increase Damage 8	an	the				Increases damage to up to double - maximum efficiency for weapons up to level 140.	Increase Damage 8 - Max Factor: $1INC_DMG
-	BFMA09	Increase Damage 9	an	the				Increases damage to up to double - maximum efficiency for weapons up to level 165.	Increase Damage 9 - Max Factor: $1INC_DMG
-	BFMA10	Increase Damage 10	an	the				Increases damage to up to double - maximum efficiency for weapons up to level 190.	Increase Damage 10 - Max Factor: $1INC_DMG
-	BFMA11	Increase Damage 11	an	the				Increases damage to up to double - maximum efficiency for weapons up to level 215.	Increase Damage 11 - Max Factor: $1INC_DMG
-	BFMA12	Increase Damage 12	an	the				Increases damage to up to double - maximum efficiency for weapons up to level 240.	Increase Damage 12 - Max Factor: $1INC_DMG
