*HASH_VALUE	title_id	name	women_name
_	gn_apprentice_tracer	Apprentice Tracer	
_	gn_bandit_bountybeaches_1	Blood Rooters	
_	gn_bandit_bountybeaches_2	Bounty Snatchers	
_	gn_bandit_bountybeaches_3	Infamous Five	
_	gn_bandit_citiesofintuition_1	Birds of Omen	
_	gn_bandit_citiesofintuition_2	Zora Kovans	
_	gn_bandit_citiesofintuition_3	Eyes of Intuition	
_	gn_bandit_dunesofexil_1	Ridge Ravagers	
_	gn_bandit_dunesofexil_2	Waylayers	
_	gn_bandit_dunesofexil_3	Dyron Dragons	
_	gn_bandit_dunesofexil_4	Firebooters	
_	gn_bandit_enchantedisle_1	Tyler's Rippers	
_	gn_bandit_enchantedisle_2	Magicians of Malice	
_	gn_bandit_enchantedisle_3	Bucking Mektoubs	
_	gn_bandit_fleetinggarden_1	Green Ravishers	
_	gn_bandit_fleetinggarden_2	Deadened Eyes	
_	gn_bandit_fleetinggarden_3	High Watchers	
_	gn_bandit_fleetinggarden_4	Fleeting Lords	
_	gn_bandit_fleetinggarden_5	Seed Addicts	
_	gn_bandit_forbidden_depths_1	Eva's Empalers	
_	gn_bandit_forbidden_depths_2	Slicers	
_	gn_bandit_forbidden_depths_3	Beastie Bandits	
_	gn_bandit_forbidden_depths_4	Dragon Dodgers	
_	gn_bandit_frahartowers_1	Canyon Creepers	
_	gn_bandit_frahartowers_2	Stunning Stavons	
_	gn_bandit_frahartowers_3	Swords of Fury	
_	gn_bandit_frahartowers_4	Frahar Blazers	
_	gn_bandit_gate_of_obscurity_1	Heart Breakers	
_	gn_bandit_gate_of_obscurity_2	Merchants of Terror	
_	gn_bandit_gate_of_obscurity_3	Valley Busters	
_	gn_bandit_gate_of_obscurity_4	Scarlet Loafers	
_	gn_bandit_groveofconfusion_1	Madding Maids	
_	gn_bandit_groveofconfusion_2	Grove Tyrants	
_	gn_bandit_groveofconfusion_3	Slashing Slathes	
_	gn_bandit_groveofumbra_1	Killer Queens	
_	gn_bandit_groveofumbra_2	Spleen Busters	
_	gn_bandit_groveofumbra_3	Black Lams	
_	gn_bandit_groveofumbra_4	Dare Doers	
_	gn_bandit_havenofpurity_1	Skelter Punks	
_	gn_bandit_havenofpurity_2	Homin Hounders	
_	gn_bandit_havenofpurity_3	Flights of Fury	
_	gn_bandit_hereticshovel_1	Channel Gaugers	
_	gn_bandit_hereticshovel_2	Heathens of the Hovel	
_	gn_bandit_hereticshovel_3	Hovel Spooks	
_	gn_bandit_hiddensource_1	Spoilers	
_	gn_bandit_hiddensource_2	Hell Raisers	
_	gn_bandit_hiddensource_3	Jena's Cuss	
_	gn_bandit_imperialdunes_1	Eye of the Dragon	
_	gn_bandit_imperialdunes_2	Dune Stalkers	
_	gn_bandit_imperialdunes_3	Pyr Crushers	
_	gn_bandit_imperialdunes_4	Pagans of Pyr	
_	gn_bandit_knollofdissent_1	Border Raiders	
_	gn_bandit_knollofdissent_2	Casters of Dissent	
_	gn_bandit_knollofdissent_3	Highcliff Riders	
_	gn_bandit_knollofdissent_4	Cutthroats	
_	gn_bandit_knollofdissent_5	Thrashers	
_	gn_bandit_knollofdissent_6	Firebooters	
_	gn_bandit_knotofdementia_1	Browbeat Brothers	
_	gn_bandit_knotofdementia_2	Zora's Thorn	
_	gn_bandit_knotofdementia_3	Zora Springers	
_	gn_bandit_lagoonsofloria_1	Swamp Slouchers	
_	gn_bandit_lagoonsofloria_2	Lagoon Fylers	
_	gn_bandit_lagoonsofloria_3	Diller's Mates	
_	gn_bandit_lagoonsofloria_4	Mire Mates	
_	gn_bandit_lagoonsofloria_5	Damning Dames	
_	gn_bandit_lagoonsofloria_6	Seven Swords of Sin	
_	gn_bandit_libertylake_1	Liberty Pirates	
_	gn_bandit_libertylake_2	Cristabell Skinners	
_	gn_bandit_libertylake_3	Friends of Fury	
_	gn_bandit_maidengrove_1	Shadow Bandits	
_	gn_bandit_maidengrove_2	Plain Scourers	
_	gn_bandit_maidengrove_3	Lake Loafers	
_	gn_bandit_majesticgarden_1	Wrath of Natae	
_	gn_bandit_majesticgarden_2	Turn of the Tide	
_	gn_bandit_majesticgarden_3	Davae's Clutch	
_	gn_bandit_majesticgarden_4	Avalae Charmers	
_	gn_bandit_majesticgarden_5	Border Blights	
_	gn_bandit_nexus_1	Rebels of the West	
_	gn_bandit_nexus_2	Highwatchers	
_	gn_bandit_nexus_3	Nexus Stranglers	
_	gn_bandit_nexus_4	Casters of the Knot	
_	gn_bandit_oflovaksoasis_1	Dragon Breath	
_	gn_bandit_oflovaksoasis_2	Shadow Riders	
_	gn_bandit_oflovaksoasis_3	Dragonfire Angels	
_	gn_bandit_oflovaksoasis_4	Hothead Hackers	
_	gn_bandit_outlawcanyon_1	Canyon Outlaws	
_	gn_bandit_outlawcanyon_2	Fighting Flames	
_	gn_bandit_outlawcanyon_3	Buccaneers	
_	gn_bandit_sawdustmines_1	Vinni's Rapiers	
_	gn_bandit_sawdustmines_2	Bone Breakers	
_	gn_bandit_sawdustmines_3	Bandits of the Wooded Dunes	
_	gn_bandit_the_abyss_of_ichor_1	Death Mongers	
_	gn_bandit_the_abyss_of_ichor_2	Slayers of Ichor	
_	gn_bandit_the_abyss_of_ichor_3	Sentinels of the Sap	
_	gn_bandit_the_abyss_of_ichor_4	Marauders	
_	gn_bandit_the_elusive_forest_1	Flaxen Fiends	
_	gn_bandit_the_elusive_forest_2	Brown Braves	
_	gn_bandit_the_elusive_forest_3	Green Grief	
_	gn_bandit_the_land_of_continuty_1	Shadow Zoners	
_	gn_bandit_the_land_of_continuty_2	Prime Root Princes	
_	gn_bandit_the_land_of_continuty_3	Cavern Cranks	
_	gn_bandit_the_land_of_continuty_4	Dragon Dudes	
_	gn_bandit_the_land_of_continuty_5	Diehard Ditchers	
_	gn_bandit_the_sunken_city_1	Soul Sisters	
_	gn_bandit_the_sunken_city_2	Rattlers	
_	gn_bandit_the_sunken_city_3	Ripping Jaks	
_	gn_bandit_the_sunken_city_4	Loving Goo-drops	
_	gn_bandit_the_trench_of_trials_1	Blasters	
_	gn_bandit_the_trench_of_trials_2	Highland Heathens	
_	gn_bandit_the_trench_of_trials_3	Bigmount Bandits	
_	gn_bandit_the_under_spring_1	Underspring Lynchers	
_	gn_bandit_the_under_spring_2	Cooky's Cranks	
_	gn_bandit_the_under_spring_3	Spooky Stavons	
_	gn_bandit_the_under_spring_4	Silencers	
_	gn_bandit_the_windy_gate_1	Heartbreak Babes	
_	gn_bandit_the_windy_gate_2	Windy Gate Wipers	
_	gn_bandit_the_windy_gate_3	Spirit Catchers	
_	gn_bandit_thefount_1	Prakkers	
_	gn_bandit_thefount_2	Fount Gaffers	
_	gn_bandit_thefount_3	Flibusters of the Fount	
_	gn_bandit_thefount_4	Liberty Rangers	
_	gn_bandit_thesavagedunes_1	Wicked of the Woods	
_	gn_bandit_thesavagedunes_2	Savage Slashers	
_	gn_bandit_thesavagedunes_3	Canal Daggers	
_	gn_bandit_thesavagedunes_4	Thieves of Thesos	
_	gn_bandit_thescorchedcorridor_1	Underground Slicers	
_	gn_bandit_thescorchedcorridor_2	Tunnel Hounds	
_	gn_bandit_thescorchedcorridor_3	Alleyway Strays	
_	gn_bandit_thevoid_1	Underwood Rebels	
_	gn_bandit_thevoid_2	Goo Grapplers	
_	gn_bandit_thevoid_3	Villains of the Void	
_	gn_bandit_upperbog_1	Sap Rakers	
_	gn_bandit_upperbog_2	Bushwhacks	
_	gn_bandit_upperbog_3	Stalia Rovers	
_	gn_bandit_windsofmuse_1	Muse Tumblers	
_	gn_bandit_windsofmuse_2	Cliff Tanners	
_	gn_bandit_windsofmuse_3	Muse Muggers	
_	gn_bandit_windsofmuse_4	Wicked Winds of the West	
_	gn_class_apprentice_trader	Apprentice Trader	
_	gn_class_arcane_apprentice	Senior Elite Magician	
_	gn_class_arcane_master	Veteran Elite Magician	
_	gn_class_archery_lord	Veteran Strong Shooter	
_	gn_class_archery_master	Senior Strong Shooter	
_	gn_class_archery_recruit	Young Strong Shooter	
_	gn_class_assassin	Young Powerful Shooter	
_	gn_class_bodyguard	Escort	
_	gn_class_bowmen	Young Regular Shooter	
_	gn_class_captain	Senior Master Warrior	
_	gn_class_charm_adept	Young Powerful Magician	
_	gn_class_charm_expert	Senior Powerful Magician	
_	gn_class_cleric	Veteran Elite Healer	
_	gn_class_conjurer	Veteran Strong Magician	
