*HASH_VALUE	title_id	name	women_name	
_	gn_apprentice_tracer	Aprendiz de trazador		
_	gn_bandit_bountybeaches_1	Hinchas de Sangre		
_	gn_bandit_bountybeaches_2	Ladrones de Recompensas		
_	gn_bandit_bountybeaches_3	Cinco Infames		
_	gn_bandit_citiesofintuition_1	Aves de Mal Agüero		
_	gn_bandit_citiesofintuition_2	Kovans de Zora		
_	gn_bandit_citiesofintuition_3	Ojos de la Intuición		
_	gn_bandit_dunesofexil_1	Saqueadores de las Colinas		
_	gn_bandit_dunesofexil_2	Waylayers		
_	gn_bandit_dunesofexil_3	Dragones de Dyron		
_	gn_bandit_dunesofexil_4	Gestor de Arranque de Fuego		
_	gn_bandit_enchantedisle_1	Destripadores de Tyler		
_	gn_bandit_enchantedisle_2	Magos de la Malicia		
_	gn_bandit_enchantedisle_3	Mektoubs Tronzados		
_	gn_bandit_fleetinggarden_1	Raptores Verdes		
_	gn_bandit_fleetinggarden_2	Ojos de Impasibilidad		
_	gn_bandit_fleetinggarden_3	Observadores de las Alturas		
_	gn_bandit_fleetinggarden_4	Los Señores Fugaces		
_	gn_bandit_fleetinggarden_5	Adictos de la Semilla		
_	gn_bandit_forbidden_depths_1	Los Empaladores de Eva		
_	gn_bandit_forbidden_depths_2	Cortadoras		
_	gn_bandit_forbidden_depths_3	Bandidos Bestias		
_	gn_bandit_forbidden_depths_4	Esquivadores del Dragón		
_	gn_bandit_frahartowers_1	Trepadoras del Canon		
_	gn_bandit_frahartowers_2	Stavons Impresionantes		
_	gn_bandit_frahartowers_3	Espadas de Furia		
_	gn_bandit_frahartowers_4	Chaquetas de Frahar		
_	gn_bandit_gate_of_obscurity_1	Rompe Corazones		
_	gn_bandit_gate_of_obscurity_2	Comerciantes del Terror		
_	gn_bandit_gate_of_obscurity_3	Destructores del Valle		
_	gn_bandit_gate_of_obscurity_4	Mocasines Escarlata		
_	gn_bandit_groveofconfusion_1	Criadas Enloquecedoras		
_	gn_bandit_groveofconfusion_2	Tiranos del Bosque		
_	gn_bandit_groveofconfusion_3	Cuchillada Slashing Slathes		
_	gn_bandit_groveofumbra_1	Reinas Asesinas		
_	gn_bandit_groveofumbra_2	Bazo/mal humor Busters		
_	gn_bandit_groveofumbra_3	Fugitivos Negros		
_	gn_bandit_groveofumbra_4	Hacedores Atrevidos		
_	gn_bandit_havenofpurity_1	Punks Locos y Desordenados		
_	gn_bandit_havenofpurity_2	Perseguidores de Homins		
_	gn_bandit_havenofpurity_3	Vuelos de Furia		
_	gn_bandit_hereticshovel_1	Medidor/Calibrador de Canal		
_	gn_bandit_hereticshovel_2	Paganos de las Choza		
_	gn_bandit_hereticshovel_3	Fantasmas del Tugurio		
_	gn_bandit_hiddensource_1	Estropeadores		
_	gn_bandit_hiddensource_2	Constructores del Infierno		
_	gn_bandit_hiddensource_3	Las palabrotas de Jena		
_	gn_bandit_imperialdunes_1	Ojo del Dragón 		
_	gn_bandit_imperialdunes_2	Acosadores de las Dunas		
_	gn_bandit_imperialdunes_3	Trituradores de Pyr		
_	gn_bandit_imperialdunes_4	Paganos de Pyr		
_	gn_bandit_knollofdissent_1	Asaltantes de la Frontera		
_	gn_bandit_knollofdissent_2	Invasores de la Frontera		
_	gn_bandit_knollofdissent_3	Invasores de los Acantilados Altos		
_	gn_bandit_knollofdissent_4	Degolladores		
_	gn_bandit_knollofdissent_5	Trilladores (Tipo de Ave)		
_	gn_bandit_knollofdissent_6	Gestores de Arranque con fuego		
_	gn_bandit_knotofdementia_1	Hermanos Intimidadores/Atemorizadores		
_	gn_bandit_knotofdementia_2	Espina de Zora		
_	gn_bandit_knotofdementia_3	Brincadores de Zora		
_	gn_bandit_lagoonsofloria_1	Perezosos/Vagos del Pantano		
_	gn_bandit_lagoonsofloria_2	Fylers de la Laguna		
_	gn_bandit_lagoonsofloria_3	Compañeros de Diller		
_	gn_bandit_lagoonsofloria_4	Compañeros del Fango		
_	gn_bandit_lagoonsofloria_5	Damas Condenadas		
_	gn_bandit_lagoonsofloria_6	Siete Espadas del Pecado		
_	gn_bandit_libertylake_1		Piratas de La Libertad	
_	gn_bandit_libertylake_2		Peleteros de Cristabell 	
_	gn_bandit_libertylake_3		Amigos de la Furia	
_	gn_bandit_maidengrove_1		Bandidos de las Sombras	
_	gn_bandit_maidengrove_2		Estropajos de la Llanura	
_	gn_bandit_maidengrove_3		Vagos del Lago	
_	gn_bandit_majesticgarden_1	Ira de Natae		
_	gn_bandit_majesticgarden_2	Cambio de la Marea		
_	gn_bandit_majesticgarden_3	Embrague de Davae		
_	gn_bandit_majesticgarden_4	Encantadores de Avalae		
_	gn_bandit_majesticgarden_5	Plagas de la Frontera		
_	gn_bandit_nexus_1		Rebeldes del Oeste	
_	gn_bandit_nexus_2		Vigilantes de las Alturas	
_	gn_bandit_nexus_3		Estranguladores de Nexus	
_	gn_bandit_nexus_4		Lanzadores del Nudo	
_	gn_bandit_oflovaksoasis_1	Aliento de Dragón 		
_	gn_bandit_oflovaksoasis_2	Jinetes de las Sombras		
_	gn_bandit_oflovaksoasis_3	Ángeles del Dragón de Fuego		
_	gn_bandit_oflovaksoasis_4	Piratas informáticos de Cabeza Caliente		
_	gn_bandit_outlawcanyon_1	Forajidos del Canon		
_	gn_bandit_outlawcanyon_2	Llamas de Combate		
_	gn_bandit_outlawcanyon_3	Bucaneros		
_	gn_bandit_sawdustmines_1	Estocadores de Vinni		
_	gn_bandit_sawdustmines_2	Rompe Huesos		
_	gn_bandit_sawdustmines_3	Bandidos de las Dunas Arboladas		
_	gn_bandit_the_abyss_of_ichor_1	Traficantes de la Muerte		
_	gn_bandit_the_abyss_of_ichor_2	Asesinos de Ichor		
_	gn_bandit_the_abyss_of_ichor_3	Centinelas de la Savia		
_	gn_bandit_the_abyss_of_ichor_4	Marauders		
_	gn_bandit_the_elusive_forest_1	Demonios del Lino		
_	gn_bandit_the_elusive_forest_2	Guerreros Marrones		
_	gn_bandit_the_elusive_forest_3	Aflicción Verde		
_	gn_bandit_the_land_of_continuty_1	Regionarios de las Dunas		
_	gn_bandit_the_land_of_continuty_2	Princesas de las Raíces Primarias		
_	gn_bandit_the_land_of_continuty_3	Caverna de la Cigüeñas		
_	gn_bandit_the_land_of_continuty_4	Amigos del Dragón 		
_	gn_bandit_the_land_of_continuty_5	Zanjadores Intransigentes		
